user_input,emotion_label,bot_response
I guess that really grosses me out honestly.,disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant There’s no need to rush your response.
"For some reason, this came out of nowhere for some reason.",surprise,Sudden changes can be startling. A little pause can help you figure out how you feel about it.
I guess i’m afraid to find out tonight.,fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once There’s no need to rush your response.
"Lately, i feel really anxious about this honestly.",fear,"It sounds like this situation has your mind on high alert. Try narrowing your attention to the next small, manageable step You can take it one moment at a time."
"Ugh, disgusting honestly.",disgust,"Strong unpleasant smells can be overwhelming. If you can, move somewhere with fresher air and give yourself a reset."
"Lately, i’m fed up with this honestly.",anger,It sounds like you’ve reached your limit. You deserve a moment to step back and breathe before deciding what to do next You can take it one moment at a time.
Seriously? I’m stunned.,surprise,You sound genuinely surprised. Take a breath and give yourself time to process the new information.
"Right now, i had such a good day tonight.",joy,I’m happy your day treated you well. Those ordinary good days are worth noticing.
"For some reason, i can’t believe they did that after everything that happened.",anger,It sounds like their action really crossed a boundary for you. Taking a breath before reacting could give you more options.
What a surprise this morning.,surprise,Unexpected moments can take a second to process. What part surprised you most?
"Honestly, i keep thinking about what I lost.",sadness,It makes sense that a loss can keep returning to your thoughts. You can acknowledge the sadness without judging yourself for it.
I feel lonely even around people this morning.,sadness,Feeling alone while surrounded by others can be especially painful. It may help to name what kind of connection you’re missing.
"For some reason, that really grosses me out today.",disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant.
"Lately, i’m deeply uncomfortable with this honestly.",disgust,"Your discomfort matters. You can pause, create some distance, and decide what boundary feels right You can take it one moment at a time."
"Honestly, i want to yell for some reason.",anger,That urge can be intense. Giving yourself a pause can create room to express what’s wrong without escalating things.
"For some reason, i’m deeply uncomfortable with this lately.",disgust,"Your discomfort matters. You can pause, create some distance, and decide what boundary feels right."
"Lately, i’m afraid to find out today.",fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once You can take it one moment at a time.
"Lately, i’m disgusted by what happened for some reason.",disgust,Your reaction sounds strong and understandable given what you encountered. Creating some distance may help You can take it one moment at a time.
"Honestly, i’m not sure what I’m feeling this morning.",neutral,That’s okay. You don’t need to label everything immediately; we can explore it together.
I just want to cry after everything that happened.,sadness,Sometimes tears are simply a way of letting emotion out. You can give yourself a quiet moment.
I’m panicking a little lately.,fear,"That sounds intense. Try grounding yourself in what you can see, hear, and feel right now, one detail at a time."
"Right now, i’m deeply uncomfortable with this more than usual.",disgust,"Your discomfort matters. You can pause, create some distance, and decide what boundary feels right."
I can't stop smiling.,joy,That smile says a lot. I hope you get to soak up this good feeling.
Nothing feels exciting anymore honestly.,sadness,It sounds like things feel unusually flat right now. Taking the day slowly may be kinder than demanding too much from yourself.
Feeling low more than usual.,sadness,I’m sorry today feels heavy. You don’t have to force yourself to feel better immediately.
"For some reason, i’m panicking a little after everything that happened.",fear,"That sounds intense. Try grounding yourself in what you can see, hear, and feel right now, one detail at a time."
I hate seeing things like that for some reason.,disgust,It makes sense that something so unpleasant would bother you. You can choose some distance from it when possible.
"Lately, i’m afraid I’ll mess this up.",fear,Fear of making mistakes can put a lot of pressure on you. Remember that one imperfect moment does not define the whole experience You can take it one moment at a time.
Feeling great honestly.,joy,There’s something refreshing about a day that feels special. Enjoy it at your own pace You can take it one moment at a time.
"Honestly, I feel fantastic more than usual.",joy,I’m glad you’re having such a positive moment. Let yourself enjoy it without overthinking it.
"Lately, i hate seeing things like that this morning.",disgust,It makes sense that something so unpleasant would bother you. You can choose some distance from it when possible You can take it one moment at a time.
"Lately, today just hurts for some reason.",sadness,"I hear how painful today feels. For now, being gentle with yourself is enough You can take it one moment at a time."
"Honestly, i’m having a rough time.",sadness,I’m sorry you’re going through a rough patch. You don’t have to solve everything at once.
"Lately, i have a question today.",neutral,"Sure, go ahead. I’ll do my best to help you work through it You can take it one moment at a time."
"Right now, i keep thinking about what I lost today.",sadness,It makes sense that a loss can keep returning to your thoughts. You can acknowledge the sadness without judging yourself for it You can take your time with it.
"Lately, that really grosses me out honestly.",disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant You can take it one moment at a time.
"Lately, i’m shocked by the news honestly.",surprise,It makes sense to need a moment after surprising news. You don’t have to react immediately You can take it one moment at a time.
Nothing much lately.,neutral,Taking time to think can be useful. What’s been occupying your thoughts? There’s no need to rush your response.
"Lately, i’m not sure what I’m feeling for some reason.",neutral,That’s okay. You don’t need to label everything immediately; we can explore it together You can take it one moment at a time.
"Right now, i’m afraid to find out for some reason.",fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once.
Just checking in at the moment.,neutral,I’m here with you. What would you like to talk about?
I feel really anxious about this at the moment.,fear,"It sounds like this situation has your mind on high alert. Try narrowing your attention to the next small, manageable step."
"For some reason, i’m annoyed beyond words tonight.",anger,That sounds like a lot of irritation building up. A short break may help you sort out what specifically crossed the line.
I have a question today.,neutral,"Sure, go ahead. I’ll do my best to help you work through it."
"Right now, that really grosses me out this morning.",disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant.
Nothing feels exciting anymore more than usual.,sadness,It sounds like things feel unusually flat right now. Taking the day slowly may be kinder than demanding too much from yourself.
"For some reason, i’m panicking a little more than usual.",fear,"That sounds intense. Try grounding yourself in what you can see, hear, and feel right now, one detail at a time."
Nothing much is happening today lately.,neutral,Sounds like a fairly ordinary day. Is there anything on your mind?
"Right now, nothing feels exciting anymore lately.",sadness,It sounds like things feel unusually flat right now. Taking the day slowly may be kinder than demanding too much from yourself.
"Lately, i’m proud of myself for some reason.",joy,You have every reason to pause and recognize what you accomplished You can take it one moment at a time.
"Honestly, ugh, that was nasty more than usual.",disgust,Sounds like a seriously unpleasant experience. Give yourself a little space from it.
I’m genuinely thrilled more than usual.,joy,Wonderful news can brighten everything. What part of it feels best to you?
"Honestly, i’m disappointed and sad more than usual.",sadness,That combination can weigh heavily. It’s okay to recognize both the disappointment and the sadness.
I want to yell honestly.,anger,That urge can be intense. Giving yourself a pause can create room to express what’s wrong without escalating things.
I guess what if everything goes wrong today.,fear,That kind of what-if thinking can feel overwhelming. Gently return to what you know right now rather than every possible outcome There’s no need to rush your response.
"Right now, i miss how things used to be.",sadness,"Missing the past can hurt, especially when it carries meaningful memories. It’s okay to acknowledge that feeling."
"For some reason, wait, that actually happened at the moment.",surprise,That sounds like quite a surprise. Give yourself a moment to take it in.
"For some reason, i want to yell today.",anger,That urge can be intense. Giving yourself a pause can create room to express what’s wrong without escalating things You can take your time with it.
Nothing much for some reason.,neutral,Sounds like a fairly ordinary day. Is there anything on your mind?
"For some reason, i want to yell.",anger,That urge can be intense. Giving yourself a pause can create room to express what’s wrong without escalating things You can take your time with it.
I’m nervous about meeting them lately.,fear,It’s understandable to feel nervous before an important interaction. You can prepare for what you can control and let the rest unfold.
I’m not sure what I’m feeling honestly.,neutral,That’s okay. You don’t need to label everything immediately; we can explore it together You can take your time with it.
"Honestly, i can’t believe it!",surprise,That sounds like a big surprise. Let yourself absorb the moment before deciding what it means.
"For some reason, i’m nervous about meeting them at the moment.",fear,It’s understandable to feel nervous before an important interaction. You can prepare for what you can control and let the rest unfold.
"Right now, well, that’s new more than usual.",surprise,Something clearly caught you off guard. It’s okay to simply observe your reaction for a moment.
Did not expect that.,surprise,That definitely sounds unexpected. Sometimes a little pause helps the surprise settle.
"Honestly, i did not see that coming honestly.",surprise,Unexpected moments can take a second to process. What part surprised you most? You can take your time with it.
"Right now, i’m excited about what’s next this morning.",joy,That excitement can be a great source of energy. Let it carry you forward one step at a time.
"Honestly, i’m scared about tomorrow more than usual.",fear,"Uncertainty can make tomorrow feel much bigger than it is. For now, focus on what you can handle today."
I’m proud of myself.,joy,You have every reason to pause and recognize what you accomplished.
I guess i feel lonely even around people today.,sadness,Feeling alone while surrounded by others can be especially painful. It may help to name what kind of connection you’re missing There’s no need to rush your response.
I guess that really grosses me out at the moment.,disgust,It sounds like that crossed a strong comfort boundary for you. It’s okay to step away from what feels unpleasant There’s no need to rush your response.
"Honestly, i can’t stand the smell tonight.",disgust,"Strong unpleasant smells can be overwhelming. If you can, move somewhere with fresher air and give yourself a reset."
I can’t stand the smell for some reason.,disgust,"Strong unpleasant smells can be overwhelming. If you can, move somewhere with fresher air and give yourself a reset."
"Honestly, today was pretty normal for some reason.",neutral,"Sometimes a normal day is simply a normal day. What stood out, if anything?"
I guess why does this keep happening honestly.,anger,Repeated problems can wear down your patience. It’s understandable to feel angry when the same issue keeps returning There’s no need to rush your response.
"Lately, things are finally going my way lately.",joy,It’s great to hear that things are clicking into place. Take a moment to appreciate the progress You can take it one moment at a time.
I had such a good day honestly.,joy,I’m happy your day treated you well. Those ordinary good days are worth noticing.
I can't stop smiling today.,joy,That smile says a lot. I hope you get to soak up this good feeling.
"Right now, what if everything goes wrong at the moment.",fear,That kind of what-if thinking can feel overwhelming. Gently return to what you know right now rather than every possible outcome.
I guess i feel really anxious about this lately.,fear,"It sounds like this situation has your mind on high alert. Try narrowing your attention to the next small, manageable step There’s no need to rush your response."
I guess i have a bad feeling honestly.,fear,That uneasy feeling can be unsettling. Take a slow breath and give yourself a moment to separate the feeling from the facts you know There’s no need to rush your response.
"Honestly, got some amazing news more than usual.",joy,Wonderful news can brighten everything. What part of it feels best to you?
"Lately, i’m afraid to find out tonight.",fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once You can take it one moment at a time.
"For some reason, i’m afraid I’ll mess this up lately.",fear,Fear of making mistakes can put a lot of pressure on you. Remember that one imperfect moment does not define the whole experience.
"I guess wait, that actually happened tonight.",surprise,That sounds like quite a surprise. Give yourself a moment to take it in There’s no need to rush your response.
"Right now, i’m having a rough time today.",sadness,I’m sorry you’re going through a rough patch. You don’t have to solve everything at once.
"Right now, i’m proud of myself at the moment.",joy,You have every reason to pause and recognize what you accomplished.
"Right now, my mind won’t stop worrying today.",fear,"When worries keep looping, it can help to pause and notice what is actually happening in the present moment."
"Honestly, i’m not sure what I’m feeling tonight.",neutral,That’s okay. You don’t need to label everything immediately; we can explore it together You can take your time with it.
I don’t really know what to say today.,neutral,"That’s completely fine. You can start with whatever feels easiest, even if it’s just one sentence."
"Right now, i hate seeing things like that this morning.",disgust,It makes sense that something so unpleasant would bother you. You can choose some distance from it when possible.
I’m scared tonight.,fear,"When worries keep looping, it can help to pause and notice what is actually happening in the present moment You can take it one moment at a time."
"Lately, i’m so angry right now for some reason.",anger,It sounds like something really pushed your limits. You can acknowledge the anger without letting it choose your next move You can take it one moment at a time.
"For some reason, seriously? I’m stunned today.",surprise,You sound genuinely surprised. Take a breath and give yourself time to process the new information.
I’m afraid to find out for some reason.,fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once.
"For some reason, ugh, that was nasty tonight.",disgust,Sounds like a seriously unpleasant experience. Give yourself a little space from it.
"For some reason, this came out of nowhere this morning.",surprise,Sudden changes can be startling. A little pause can help you figure out how you feel about it.
"Honestly, i’m scared about tomorrow at the moment.",fear,"Uncertainty can make tomorrow feel much bigger than it is. For now, focus on what you can handle today You can take your time with it."
I’m fed up with this after everything that happened.,anger,It sounds like you’ve reached your limit. You deserve a moment to step back and breathe before deciding what to do next.
"Lately, i don’t really know what to say.",neutral,"That’s completely fine. You can start with whatever feels easiest, even if it’s just one sentence You can take it one moment at a time."
"Honestly, this made my whole day honestly.",joy,It sounds like that moment really lifted you. Hold onto what made it meaningful.
"Lately, i’m disappointed and sad today.",sadness,That combination can weigh heavily. It’s okay to recognize both the disappointment and the sadness You can take it one moment at a time.
"Honestly, that was completely unexpected lately.",surprise,Sounds like the situation changed quickly. Take some time to process what happened.
"Right now, i don’t really know what to say at the moment.",neutral,"That’s completely fine. You can start with whatever feels easiest, even if it’s just one sentence."
Absolutely unpleasant tonight.,disgust,Sounds like a seriously unpleasant experience. Give yourself a little space from it There’s no need to rush your response.
"Right now, i just want to cry this morning.",sadness,Sometimes tears are simply a way of letting emotion out. You can give yourself a quiet moment.
"Honestly, i can’t believe they did that for some reason.",anger,It sounds like their action really crossed a boundary for you. Taking a breath before reacting could give you more options.
"Lately, i’m trying to understand myself better tonight.",neutral,That sounds like a worthwhile goal. We can look at what you’ve been noticing without rushing to conclusions You can take it one moment at a time.
"Lately, i’m afraid to find out at the moment.",fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once You can take it one moment at a time.
I guess i’m shocked by the news tonight.,surprise,It makes sense to need a moment after surprising news. You don’t have to react immediately There’s no need to rush your response.
I guess things are finally going my way tonight.,joy,It’s great to hear that things are clicking into place. Take a moment to appreciate the progress There’s no need to rush your response.
"Honestly, just thinking things over today.",neutral,Taking time to think can be useful. What’s been occupying your thoughts?
"Right now, nothing feels exciting anymore after everything that happened.",sadness,It sounds like things feel unusually flat right now. Taking the day slowly may be kinder than demanding too much from yourself.
This is seriously frustrating more than usual.,anger,I can understand why that would feel frustrating. A little space before responding may help you regain control.
"Right now, i miss how things used to be honestly.",sadness,"Missing the past can hurt, especially when it carries meaningful memories. It’s okay to acknowledge that feeling."
"Honestly, i’m excited about what’s next this morning.",joy,That excitement can be a great source of energy. Let it carry you forward one step at a time.
"For some reason, things are finally going my way at the moment.",joy,It’s great to hear that things are clicking into place. Take a moment to appreciate the progress.
"Lately, this came out of nowhere this morning.",surprise,Sudden changes can be startling. A little pause can help you figure out how you feel about it You can take it one moment at a time.
I’m afraid to find out tonight.,fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once.
"Honestly, i’m afraid to find out today.",fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once You can take your time with it.
"Honestly, this made my whole day.",joy,It sounds like that moment really lifted you. Hold onto what made it meaningful.
"Right now, this made my whole day at the moment.",joy,It sounds like that moment really lifted you. Hold onto what made it meaningful.
"Lately, this came out of nowhere at the moment.",surprise,Sudden changes can be startling. A little pause can help you figure out how you feel about it You can take it one moment at a time.
"For some reason, i feel really down today honestly.",sadness,I’m sorry today feels heavy. You don’t have to force yourself to feel better immediately.
"For some reason, that is just gross for some reason.",disgust,I hear how strongly you dislike it. Sometimes the best response is simply to remove yourself from the unpleasant situation.
"Honestly, today feels special lately.",joy,There’s something refreshing about a day that feels special. Enjoy it at your own pace.
That behavior is so disturbing at the moment.,disgust,It sounds like what you saw really unsettled you. You’re allowed to recognize that it crossed your personal boundaries.
"Lately, i’m not sure what I’m feeling this morning.",neutral,That’s okay. You don’t need to label everything immediately; we can explore it together You can take it one moment at a time.
"Honestly, this makes me furious after everything that happened.",anger,I hear how strong the anger is. You can validate that feeling while still choosing a response you’ll feel good about later.
"For some reason, this makes me furious more than usual.",anger,I hear how strong the anger is. You can validate that feeling while still choosing a response you’ll feel good about later.
This came out of nowhere for some reason.,surprise,Sudden changes can be startling. A little pause can help you figure out how you feel about it.
"Ugh, that was nasty today.",disgust,Sounds like a seriously unpleasant experience. Give yourself a little space from it.
I guess got some amazing news.,joy,Wonderful news can brighten everything. What part of it feels best to you? There’s no need to rush your response.
"Right now, i want to yell.",anger,That urge can be intense. Giving yourself a pause can create room to express what’s wrong without escalating things You can take your time with it.
I can’t believe it after everything that happened.,surprise,That sounds like a big surprise. Let yourself absorb the moment before deciding what it means.
"Honestly, i’m deeply uncomfortable with this.",disgust,"Your discomfort matters. You can pause, create some distance, and decide what boundary feels right."
"Lately, this made my whole day today.",joy,It sounds like that moment really lifted you. Hold onto what made it meaningful You can take it one moment at a time.
"Right now, i’m afraid to find out.",fear,Waiting for an answer can be frightening. You can take the moment one piece at a time instead of carrying the whole uncertainty at once You can take your time with it.
"Lately, i’m fed up with this today.",anger,It sounds like you’ve reached your limit. You deserve a moment to step back and breathe before deciding what to do next You can take it one moment at a time.
"Honestly, i’m annoyed beyond words today.",anger,That sounds like a lot of irritation building up. A short break may help you sort out what specifically crossed the line You can take your time with it.
"Lately, i never imagined this would happen lately.",surprise,That kind of unexpected turn can leave you searching for words. Give yourself space to take it in You can take it one moment at a time.
I never imagined this would happen after everything that happened.,surprise,That kind of unexpected turn can leave you searching for words. Give yourself space to take it in.
What if everything goes wrong tonight.,fear,That kind of what-if thinking can feel overwhelming. Gently return to what you know right now rather than every possible outcome.
What a surprise today.,surprise,That sounds like a big surprise. Let yourself absorb the moment before deciding what it means There’s no need to rush your response.
